0.00, -0.00
0.00, -0.00
0.00, -0.00
0.00, -0.00
0.00, -0.00
0.00, -0.00
0.00, -0.00
0.00, -0.00
0.00, -0.00
0.00, -0.00
0.00, -0.00
0.00, -0.00
0.00, -0.00
0.00, -0.00
0.00, -0.00
0.00, -0.00
0.00, -0.00
0.00, -0.00
0.00, -0.00
0.00, -0.00
0.00, -0.00
-0.00, 0.00
-0.01, 0.00
-0.03, 0.00
-0.07, 0.01
-0.12, 0.01
-0.18, 0.02
-0.21, 0.02
-0.21, 0.02
-0.21, 0.02
-0.20, 0.02
-0.16, 0.02
-0.11, 0.01
-0.05, 0.00
0.03, -0.00
0.09, -0.01
0.16, -0.01
0.23, -0.02
0.30, -0.03
0.38, -0.03
0.45, -0.04
0.52, -0.05
0.58, -0.05
0.66, -0.06
0.73, -0.07
0.80, -0.07
0.88, -0.08
0.94, -0.09
1.02, -0.09
1.08, -0.10
1.15, -0.11
1.23, -0.11
1.28, -0.12
1.28, -0.12
1.28, -0.12
1.28, -0.12
1.28, -0.12
1.28, -0.12
1.28, -0.12
1.28, -0.12
1.31, -0.15
1.35, -0.18
1.39, -0.23
1.44, -0.29
1.47, -0.35
1.50, -0.41
1.52, -0.48
1.53, -0.55
1.53, -0.62
1.51, -0.68
1.49, -0.75
1.47, -0.82
1.44, -0.88
1.41, -0.95
1.38, -1.01
1.35, -1.07
1.32, -1.13
1.28, -1.20
1.24, -1.26
1.22, -1.28
1.22, -1.28
1.22, -1.28
1.22, -1.28
1.22, -1.28
1.22, -1.28
1.22, -1.28
1.22, -1.28
1.22, -1.28
1.22, -1.28
1.22, -1.28
1.22, -1.28
1.22, -1.28
1.22, -1.28
1.22, -1.28
1.22, -1.28
